timestamp,time_s,amplitude_rms,amplitude_peak
00:02,2,0.088008,0.216684
00:05,5,0.085048,0.237985
00:08,8,0.085531,0.256555
00:12,12,0.053896,0.183158
00:17,17,0.079339,0.231544
00:20,20,0.070501,0.182965
00:22,22,0.310232,0.598149
00:25,25,0.310767,0.666193
00:29,29,0.059744,0.248999
00:37,37,0.061932,0.221167
00:42,42,0.058555,0.196397
00:45,45,0.045514,0.158278
00:57,57,0.206291,0.772267
01:00,60,0.193449,0.716481
01:03,63,0.071019,0.290825
01:05,65,0.051768,0.184722
01:08,68,0.111215,0.382543
01:11,71,0.060997,0.250475
01:22,82,0.107032,0.346714
01:26,86,0.089659,0.340402
01:31,91,0.076129,0.314037
